,title,price,metros2,location,Rooms,region
302,Apartamento T2 perto do Palácio de Queluz,725,66.5,"Queluz e Belas, Sintra",2, Lisboa
303,Apartamento T3 c/Lugar de Garagem | Matosinhos,1200,111,"São Mamede de Infesta e Senhora da Hora, Matosinhos",3, Porto
304,Apartamento T2 para arrendamento,1600,75.5,Alcântara,2, Lisboa
305,Apartamento T2 remodelado a estrear com garagem,1600,92,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras",2, Lisboa
306,Excelente Apartamento T3 com varandas em Lisboa,2350,165,Alvalade,3, Lisboa
307,"Apartamento T3 - Ericeira, A Casa das Casas",1600,136.95,"Ericeira, Mafra",3, Lisboa
308,Apartamento T2 para arrendamento,1750,159,"Alverca do Ribatejo e Sobralinho, Vila Franca de Xira",2, Lisboa
309,Apartamento T2 para arrendamento,2000,97.36,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras",2, Lisboa
310,"T1 para arrendamento, junto ao Estádio da Luz, com garagem",1700,63,São Domingos de Benfica,1, Lisboa
311,"Excelente Apartamento T3, Lisboa",4200,175,Avenidas Novas,3, Lisboa
312,Fantástico apartamento T3 na zona sul do Parque das Nações,3000,141,Parque das Nações,3, Lisboa
313,Apartamento T2 para arrendamento,1750,70,Areeiro,2, Lisboa
314,Apartamento T0 totalmente Mobilado em Cascais,1400,45,"Cascais e Estoril, Cascais",0, Lisboa
315,"Apartamento T2 - Ericeira centro, A Casa das Casas",1000,65,"Ericeira, Mafra",2, Lisboa
316,Apartamento T3 com garagem e arrecadação para arrendar | São Domingos,1590,116,"São Domingos de Rana, Cascais",3, Lisboa
317,T3 Válega - Ovar - Mobilado e equipado - Com terraço cobe...,750,138,"Válega, Ovar",3, Aveiro
318,Fantástico T3 na Foz do Douro com vistas mar,3500,147,"Aldoar, Foz do Douro e Nevogilde",3, Porto
319,Excelente Apartamento T2 em Cascais,2300,109,"Cascais e Estoril, Cascais",2, Lisboa
320,T2 totalmente renovado no Centro - Carcavelos,1500,75,"Carcavelos e Parede, Cascais",2, Lisboa
321,APARTAMENTO T2 NO CENTRO DE CARCAVELOS,1500,79,"Carcavelos e Parede, Cascais",2, Lisboa
322,Apartamento T2 Gandra - Próximo CESPU,1000,100,"Gandra, Paredes",2, Porto
