,title,price,metros2,location,rooms,region
1620,Apartamento T1 Vilamoura Aluguer anual,1500.0,64.0,"Quarteira, Loule",1, Faro
1621,Apartamento para arrenda T2 Cascais,1400.0,50.0,"Cascais e Estoril, Cascais",2, Lisboa
1622,Madragoa apartamento,750.0,32.0,Estrela,1, Lisboa
1624,Apartamento T4 para arrendamento,2400.0,170.0,"Alges, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras",4, Lisboa
1625,T1 evolutivo - Asprela Domus III junto Hospital S.Joao,940.0,50.0,Paranhos,1, Porto
1626,Apartamento T3 com estacionamento,1000.0,86.0,"Sao Martinho do Porto, Alcobaca",3, Leiria
1627,Alugo Apartamento T3 mobilado a 150metros ULS Guarda e 500m do Liceu,550.0,110.0,Codesseiro,3, Guarda
1628,T1 Porto Freixo/Campanha em frente ao Rio Douro,980.0,50.0,Campanha,1, Porto
1629,"Apartamento em Porto de 59,00 m2",850.0,59.0,"Cedofeita, Santo Ildefonso, Se, Miragaia, Sao Nicolau e Vitoria",0, Porto
1630,Apartamento T2 Duplex - Centro do Porto ( Bonfim ),1200.0,120.0,Bonfim,2, Porto
1631,For rent/Arrendo T2 - Frente /In front of high school Almeida Garrett,1000.0,75.0,"Mafamude e Vilar do Paraiso, Vila Nova de Gaia",2, Porto
1632,"Luminoso T2 em Benfica, proximo da estacao.",1450.0,63.0,Benfica,2, Lisboa
1633,Apartamento T1 para arrendamento,900.0,38.0,Sao Vicente,1, Lisboa
1634,Apartamento T2 + 1 mobilado | Centro da Maia | 91 m2,700.0,91.0,"Cidade da Maia, Maia",2, Porto
1636,Apartamento T2 Arrendar Bairro Afonso Costa,730.0,76.0,Sao Sebastiao,2, Setubal
1637,Apartamento no centro de Cabanas,460.0,40.0,"Conceicao e Cabanas de Tavira, Tavira",1, Faro
1638,Vilamoura-apartamento com piscina / apartment with swimming pool,900.0,42.2,"Quarteira, Loule",1, Faro
1639,T3 Baixa do Porto,1300.0,233.0,"Cedofeita, Santo Ildefonso, Se, Miragaia, Sao Nicolau e Vitoria",3, Porto
1640,T4 Cedofeita / Hospital Santo Antonio / Cordoaria - Mobilado,2000.0,170.0,"Cedofeita, Santo Ildefonso, Se, Miragaia, Sao Nicolau e Vitoria",4, Porto
1641,Arrendo T1 na Praia da Luz para o inverno 70 mts,850.0,70.0,"Luz, Lagos",1, Faro
1642,Arrendo T2 duplex junto a Av. de Roma,1500.0,140.0,"Oeiras e Sao Juliao da Barra, Paco de Arcos e Caxias, Oeiras",2, Lisboa
1643,T4 Duplex Univ. Catolica Lisboa Estudantes,2450.0,75.0,Sao Domingos de Benfica,4, Lisboa
1644,"Apartamento T4, em Gaia, junto ao El Corte Ingles",3000.0,153.29,"Mafamude e Vilar do Paraiso, Vila Nova de Gaia",4, Porto
1645,Casa do Couco para ferias urgente 18/6 a 25/6,115.0,330.0,"Couco, Coruche",3, Santarem
1646,Apartamento com Piscina em Cabanas de Tavira,560.0,40.0,"Conceicao e Cabanas de Tavira, Tavira",0, Faro
1647,Excelente apartamento T2 para arrendamento no centro Almancil,1125.0,80.0,"Almancil, Loule",2, Faro
1648,Apartamento T2 Praca de Espanha Lisboa,1100.0,62.0,Campolide,2, Lisboa
1649,"T3 Arroios, Estefania",1300.0,93.0,Arroios,3, Lisboa
1650,Arrenda-se T1 centro Matosinhos,800.0,34.0,"Matosinhos e Leca da Palmeira, Matosinhos",1, Porto
1651,Loft Cascais - Diaria ou Mensal(Negociar),70.0,40.0,"Cascais e Estoril, Cascais",1, Lisboa
1652,AP. T1 R. Alegria,830.0,43.0,Bonfim,1, Porto
1653,"Apartamento acolhedor proximo da praia e golfe, Vale do Lobo, Algarve",1750.0,60.0,"Almancil, Loule",1, Faro
1654,T1 Ferias Edificio Panoramic parque das nacoes/ curta duracao,1500.0,70.0,Parque das Nacoes,1, Lisboa
1655,Lagoa Acores Mar ? Alojamento para 8 com parque privativo,950.0,160.0,"Nossa Senhora do Rosario, Lagoa (Sao Miguel)",3, Ilha de Sao Miguel
1656,"Arrenda Apart T1 Campo-Grande (Metro, estacionamento, Piscina)",1850.0,75.0,Avenidas Novas,1, Lisboa
1657,Apartamento T1 a 100m da praia de Altura c/vista mar,500.0,75.0,"Altura, Castro Marim",1, Faro
1658,"T2 Praia da Barra (Aveiro) , Verao , Fins de semana",350.0,95.0,"Gafanha da Nazare, Ilhavo",2, Aveiro
1660,"Apartamento com 4 assoalhadas, muito bem estimado, como n...",1600.0,136.95,"Ericeira, Mafra",3, Lisboa
1661,Apartamento T2 Loures Apelacao,1050.0,72.28,"Camarate, Unhos e Apelacao, Loures",2, Lisboa
1662,"Apartamento em Moita, Alhos Vedros",830.0,95.0,"Alhos Vedros, Moita",3, Setubal
1663,Apartamento T2 Duplex,620.0,65.0,"Buarcos e Sao Juliao, Figueira da Foz",2, Coimbra
